sales_id,competitor_id,year,quarter,revenue_million,growth_percent,new_customers,renewals,churn_rate
1,1,2025,Q1,206,15.29,84,743,11.87
2,1,2025,Q2,488,-4.08,226,54,12.08
3,1,2025,Q3,62,2.89,337,537,6.58
4,1,2025,Q4,576,6.83,57,781,10.06
5,2,2025,Q1,312,3.92,819,58,13.12
6,2,2025,Q2,359,1.83,838,386,7.12
7,2,2025,Q3,429,13.58,936,405,5.75
8,2,2025,Q4,211,7.41,529,386,13.94
9,3,2025,Q1,551,1.67,104,754,6.94
10,3,2025,Q2,460,10.06,862,194,8.64
11,3,2025,Q3,348,-2.44,355,686,5.14
12,3,2025,Q4,476,10.07,456,180,10.66
13,4,2025,Q1,379,6.18,764,900,13.76
14,4,2025,Q2,649,19.95,301,664,14.72
15,4,2025,Q3,78,-3.12,672,425,6.09
16,4,2025,Q4,787,11.99,995,41,3.0
17,5,2025,Q1,642,11.95,468,45,2.77
18,5,2025,Q2,261,14.46,395,380,6.36
19,5,2025,Q3,600,-4.19,177,705,7.3
20,5,2025,Q4,399,4.3,801,88,9.03
21,6,2025,Q1,562,4.17,341,675,4.9
22,6,2025,Q2,136,-4.35,210,521,8.25
23,6,2025,Q3,595,-2.06,813,276,10.86
24,6,2025,Q4,239,19.91,312,720,13.83
25,7,2025,Q1,522,0.0,158,883,2.04
26,7,2025,Q2,196,17.47,475,99,12.35
27,7,2025,Q3,347,11.7,746,76,8.7
28,7,2025,Q4,317,17.28,891,171,10.97
29,8,2025,Q1,737,10.94,832,380,8.12
30,8,2025,Q2,144,19.63,831,152,4.31
31,8,2025,Q3,525,-4.34,587,596,6.16
32,8,2025,Q4,584,-1.76,925,98,1.92
33,9,2025,Q1,427,19.99,756,500,8.36
34,9,2025,Q2,439,15.58,95,138,14.61
35,9,2025,Q3,677,-3.15,497,706,8.24
36,9,2025,Q4,151,16.95,818,574,9.96
37,10,2025,Q1,206,14.19,152,453,8.04
38,10,2025,Q2,76,15.78,550,166,5.26
39,10,2025,Q3,185,3.07,746,240,5.84
40,10,2025,Q4,551,17.37,886,90,4.51
41,11,2025,Q1,670,18.91,301,138,9.75
42,11,2025,Q2,649,8.34,534,666,3.36
43,11,2025,Q3,614,-1.15,694,649,11.09
44,11,2025,Q4,639,3.44,966,587,1.58
45,12,2025,Q1,49,-2.97,991,666,11.79
46,12,2025,Q2,291,11.28,805,595,6.83
47,12,2025,Q3,674,-4.24,930,652,8.64
48,12,2025,Q4,677,18.92,514,260,12.27
49,13,2025,Q1,721,5.15,484,84,10.64
50,13,2025,Q2,181,5.99,515,485,3.86
51,13,2025,Q3,641,-1.41,902,745,5.47
52,13,2025,Q4,373,19.38,153,788,6.19
53,14,2025,Q1,595,-2.35,267,487,2.72
54,14,2025,Q2,480,1.2,119,61,5.06
55,14,2025,Q3,413,16.6,448,264,14.48
56,14,2025,Q4,183,15.34,976,601,11.1
57,15,2025,Q1,214,14.08,530,537,7.54
58,15,2025,Q2,335,7.43,112,412,8.08
59,15,2025,Q3,266,0.38,381,59,1.71
60,15,2025,Q4,526,9.94,883,679,10.42
61,16,2025,Q1,312,8.42,887,120,7.03
62,16,2025,Q2,290,13.19,802,422,6.12
63,16,2025,Q3,430,-3.72,595,209,6.08
64,16,2025,Q4,315,-3.16,536,471,11.7
65,17,2025,Q1,306,15.63,658,706,9.55
66,17,2025,Q2,151,19.38,423,392,12.13
