competitor_id,company_name,industry,headquarters,CEO,website,market_share,employee_count,annual_revenue_million
1,DataSphere 1,AI,Germany,CEO 1,https://company1.example.com,6.88,4772,889
2,QuantumSoft 2,AI,Canada,CEO 2,https://company2.example.com,11.13,1176,817
3,VisionTech 3,Analytics,Canada,CEO 3,https://company3.example.com,15.45,18590,1678
4,QuantumSoft 4,Enterprise AI,India,CEO 4,https://company4.example.com,11.78,9315,103
5,InsightAI 5,Enterprise AI,Germany,CEO 5,https://company5.example.com,7.67,7255,2807
6,DataSphere 6,AI,UK,CEO 6,https://company6.example.com,3.32,11470,4995
7,CloudEdge 7,AI,UK,CEO 7,https://company7.example.com,13.87,12603,695
8,QuantumSoft 8,SaaS,Canada,CEO 8,https://company8.example.com,22.25,12050,4779
9,VisionTech 9,AI,USA,CEO 9,https://company9.example.com,16.87,9682,703
10,VisionTech 10,AI,UK,CEO 10,https://company10.example.com,7.67,12154,1382
11,AIWorks 11,SaaS,India,CEO 11,https://company11.example.com,17.08,2539,1451
12,QuantumSoft 12,Analytics,India,CEO 12,https://company12.example.com,12.09,9045,4612
13,VisionTech 13,SaaS,USA,CEO 13,https://company13.example.com,6.5,1251,2634
14,SmartLogic 14,SaaS,USA,CEO 14,https://company14.example.com,6.06,18785,2627
15,VisionTech 15,Enterprise AI,UK,CEO 15,https://company15.example.com,22.23,15235,1220
16,CloudEdge 16,Analytics,India,CEO 16,https://company16.example.com,18.88,17861,2202
17,CortexAI 17,Enterprise AI,Canada,CEO 17,https://company17.example.com,10.59,7386,1183
18,QuantumSoft 18,Enterprise AI,USA,CEO 18,https://company18.example.com,19.14,3792,1302
19,InsightAI 19,Enterprise AI,Canada,CEO 19,https://company19.example.com,2.52,12704,4931
20,NextGenAI 20,Cloud,Germany,CEO 20,https://company20.example.com,24.31,576,988
21,QuantumSoft 21,SaaS,Germany,CEO 21,https://company21.example.com,3.68,14446,1345
22,NextGenAI 22,AI,Germany,CEO 22,https://company22.example.com,24.33,6054,4208
23,DataSphere 23,SaaS,Canada,CEO 23,https://company23.example.com,15.62,5208,3113
24,InsightAI 24,Cloud,Canada,CEO 24,https://company24.example.com,23.04,19826,2705
25,NextGenAI 25,AI,USA,CEO 25,https://company25.example.com,23.3,10276,2011
26,TechNova 26,Analytics,Canada,CEO 26,https://company26.example.com,23.73,3006,4031
27,DataSphere 27,Cloud,India,CEO 27,https://company27.example.com,4.08,15774,4553
28,InsightAI 28,SaaS,Canada,CEO 28,https://company28.example.com,21.94,14065,1785
