applicant_id,campus_group,annual_income,credit_score,loan_approved_actual,loan_approved_model_prediction
APP0001,CampusA,44404,665,0,1
APP0002,CampusB,53623,659,0,1
APP0003,CampusA,43477,682,1,1
APP0004,CampusB,38770,665,0,1
APP0005,CampusB,56677,593,0,0
APP0006,CampusB,46164,574,0,0
APP0007,CampusB,49759,661,0,0
APP0008,CampusA,59057,579,1,1
APP0009,CampusA,58744,732,1,1
APP0010,CampusA,40834,652,0,1
APP0011,CampusB,38695,588,0,0
APP0012,CampusB,48412,631,1,0
APP0013,CampusA,43407,620,1,1
APP0014,CampusA,22202,642,0,0
APP0015,CampusA,60304,707,1,1
APP0016,CampusB,45232,563,0,0
APP0017,CampusA,53837,538,0,1
APP0018,CampusA,30925,670,1,1
APP0019,CampusB,60458,639,1,1
APP0020,CampusA,37941,660,0,0
APP0021,CampusB,43708,677,1,0
APP0022,CampusB,28183,639,0,0
APP0023,CampusA,42997,698,1,1
APP0024,CampusB,42242,596,0,0
APP0025,CampusB,42776,654,1,0
APP0026,CampusA,50262,600,0,1
APP0027,CampusB,45724,582,0,0
APP0028,CampusB,56709,687,1,0
APP0029,CampusB,39382,684,0,0
APP0030,CampusA,33048,533,0,0
APP0031,CampusA,44771,583,0,0
APP0032,CampusA,52540,668,1,0
APP0033,CampusA,59936,714,1,1
APP0034,CampusA,54767,610,1,1
APP0035,CampusA,23815,639,0,0
APP0036,CampusB,49525,565,0,0
APP0037,CampusB,62524,801,1,1
APP0038,CampusA,45751,679,1,1
APP0039,CampusB,38807,704,0,0
APP0040,CampusA,48710,689,1,1
APP0041,CampusA,38961,706,0,1
APP0042,CampusA,52669,686,1,1
APP0043,CampusB,44844,630,0,1
APP0044,CampusA,61716,695,1,0
APP0045,CampusA,50994,655,1,1
APP0046,CampusB,36313,728,0,0
APP0047,CampusA,52256,606,0,1
APP0048,CampusB,56232,618,0,0
APP0049,CampusA,38179,690,1,1
APP0050,CampusB,39890,727,1,0
APP0051,CampusA,17338,659,0,1
APP0052,CampusA,55841,607,1,1
APP0053,CampusB,37947,643,0,0
APP0054,CampusB,19532,620,0,0
APP0055,CampusA,23775,764,1,1
APP0056,CampusA,42325,704,1,1
APP0057,CampusA,54128,726,1,0
APP0058,CampusB,43931,668,1,1
APP0059,CampusB,50661,617,0,0
APP0060,CampusB,31782,720,0,0
APP0061,CampusB,28904,749,0,0
APP0062,CampusB,55629,685,1,0
APP0063,CampusA,50906,649,1,1
APP0064,CampusA,44634,715,1,1
APP0065,CampusB,60385,628,0,0
APP0066,CampusA,33586,696,1,1
APP0067,CampusB,39957,607,0,0
APP0068,CampusB,57316,592,0,0
APP0069,CampusB,67054,684,1,1
APP0070,CampusA,45101,670,0,1
APP0071,CampusB,65154,764,1,1
APP0072,CampusA,37770,633,1,1
APP0073,CampusA,48957,651,1,0
APP0074,CampusA,42914,582,0,0
