news_id,date,company_name,headline,category,sentiment,source,url
1,2026-01-02,SmartLogic 42,Market update 1,Launch,Positive,IDC,https://news.example.com/1
2,2026-01-03,SmartLogic 76,Market update 2,Funding,Positive,Gartner,https://news.example.com/2
3,2026-01-04,VisionTech 10,Market update 3,Acquisition,Negative,Forrester,https://news.example.com/3
4,2026-01-05,SmartLogic 76,Market update 4,Launch,Neutral,Gartner,https://news.example.com/4
5,2026-01-06,SmartLogic 42,Market update 5,Funding,Positive,Forrester,https://news.example.com/5
6,2026-01-07,TechNova 82,Market update 6,Financial,Negative,Gartner,https://news.example.com/6
7,2026-01-08,DataSphere 23,Market update 7,Acquisition,Positive,IDC,https://news.example.com/7
8,2026-01-09,SmartLogic 49,Market update 8,Acquisition,Negative,Gartner,https://news.example.com/8
9,2026-01-10,CortexAI 17,Market update 9,Funding,Negative,Reuters,https://news.example.com/9
10,2026-01-11,QuantumSoft 90,Market update 10,Financial,Negative,Reuters,https://news.example.com/10
11,2026-01-12,InsightAI 24,Market update 11,Acquisition,Negative,IDC,https://news.example.com/11
12,2026-01-13,TechNova 82,Market update 12,Launch,Neutral,IDC,https://news.example.com/12
13,2026-01-14,NextGenAI 43,Market update 13,Launch,Positive,Gartner,https://news.example.com/13
14,2026-01-15,DataSphere 41,Market update 14,Funding,Negative,Reuters,https://news.example.com/14
15,2026-01-16,VisionTech 91,Market update 15,Acquisition,Neutral,Reuters,https://news.example.com/15
16,2026-01-17,QuantumSoft 34,Market update 16,Funding,Positive,Reuters,https://news.example.com/16
17,2026-01-18,QuantumSoft 45,Market update 17,Acquisition,Positive,Reuters,https://news.example.com/17
18,2026-01-19,CloudEdge 7,Market update 18,Financial,Neutral,Forrester,https://news.example.com/18
19,2026-01-20,NextGenAI 22,Market update 19,Financial,Neutral,Forrester,https://news.example.com/19
20,2026-01-21,QuantumSoft 45,Market update 20,Financial,Positive,Forrester,https://news.example.com/20
21,2026-01-22,AIWorks 74,Market update 21,Funding,Positive,Forrester,https://news.example.com/21
22,2026-01-23,VisionTech 10,Market update 22,Launch,Neutral,Reuters,https://news.example.com/22
23,2026-01-24,DataSphere 41,Market update 23,Acquisition,Positive,Reuters,https://news.example.com/23
24,2026-01-25,InsightAI 44,Market update 24,Funding,Neutral,IDC,https://news.example.com/24
25,2026-01-26,TechNova 94,Market update 25,Launch,Negative,Reuters,https://news.example.com/25
26,2026-01-27,InsightAI 44,Market update 26,Financial,Negative,Reuters,https://news.example.com/26
27,2026-01-28,InsightAI 56,Market update 27,Funding,Negative,Forrester,https://news.example.com/27
28,2026-01-29,QuantumSoft 21,Market update 28,Launch,Positive,Gartner,https://news.example.com/28
29,2026-01-30,DataSphere 27,Market update 29,Funding,Neutral,Gartner,https://news.example.com/29
30,2026-01-31,SmartLogic 85,Market update 30,Acquisition,Neutral,IDC,https://news.example.com/30
31,2026-02-01,VisionTech 13,Market update 31,Launch,Neutral,Forrester,https://news.example.com/31
32,2026-02-02,NextGenAI 20,Market update 32,Launch,Neutral,Reuters,https://news.example.com/32
33,2026-02-03,DataSphere 55,Market update 33,Launch,Neutral,Forrester,https://news.example.com/33
34,2026-02-04,TechNova 26,Market update 34,Launch,Positive,IDC,https://news.example.com/34
35,2026-02-05,NextGenAI 22,Market update 35,Acquisition,Positive,Forrester,https://news.example.com/35
36,2026-02-06,VisionTech 15,Market update 36,Acquisition,Neutral,Forrester,https://news.example.com/36
37,2026-02-07,QuantumSoft 63,Market update 37,Acquisition,Positive,Forrester,https://news.example.com/37
38,2026-02-08,InsightAI 24,Market update 38,Acquisition,Neutral,Gartner,https://news.example.com/38
39,2026-02-09,InsightAI 24,Market update 39,Financial,Positive,Gartner,https://news.example.com/39
40,2026-02-10,CloudEdge 57,Market update 40,Financial,Neutral,IDC,https://news.example.com/40
41,2026-02-11,SmartLogic 35,Market update 41,Launch,Positive,Reuters,https://news.example.com/41
42,2026-02-12,AIWorks 11,Market update 42,Acquisition,Negative,Forrester,https://news.example.com/42
43,2026-02-13,VisionTech 97,Market update 43,Funding,Negative,Reuters,https://news.example.com/43
44,2026-02-14,AIWorks 50,Market update 44,Financial,Negative,Forrester,https://news.example.com/44
45,2026-02-15,AIWorks 74,Market update 45,Funding,Neutral,Gartner,https://news.example.com/45
46,2026-02-16,AIWorks 11,Market update 46,Financial,Negative,Reuters,https://news.example.com/46
47,2026-02-17,VisionTech 65,Market update 47,Funding,Positive,Forrester,https://news.example.com/47
