product_id,competitor_id,product_name,category,launch_date,pricing_model,subscription_price,ai_features,target_market
P001,7,Product 1,Assistant,2024-01-24,Annual,118,Reasoning,Enterprise
P002,44,Product 2,BI,2023-10-12,Annual,139,RAG,Enterprise
P003,3,Product 3,Automation,2023-02-23,Annual,124,RAG,Consumer
P004,6,Product 4,LLM,2023-09-11,Monthly,439,RAG,Consumer
P005,20,Product 5,Analytics,2023-05-10,Annual,352,RAG,Consumer
P006,28,Product 6,BI,2024-12-17,Annual,402,Vision,SMB
P007,78,Product 7,Automation,2025-02-04,Usage,68,Agents,Enterprise
P008,14,Product 8,Automation,2023-01-27,Annual,304,Reasoning,Enterprise
P009,92,Product 9,Analytics,2023-03-19,Usage,363,Agents,SMB
P010,90,Product 10,Assistant,2025-05-20,Usage,317,RAG,Consumer
P011,6,Product 11,Assistant,2024-06-29,Annual,348,Vision,SMB
P012,65,Product 12,Assistant,2023-01-13,Annual,431,Reasoning,SMB
P013,56,Product 13,Assistant,2024-10-12,Annual,372,Agents,Enterprise
P014,23,Product 14,Automation,2024-10-28,Annual,325,SQL,Enterprise
P015,60,Product 15,BI,2025-04-25,Usage,313,Vision,Enterprise
P016,32,Product 16,LLM,2023-10-13,Annual,134,Reasoning,Consumer
P017,79,Product 17,BI,2023-12-11,Monthly,263,Vision,SMB
P018,63,Product 18,Analytics,2023-12-30,Annual,184,Vision,Consumer
P019,90,Product 19,Assistant,2024-07-23,Monthly,274,Agents,SMB
P020,31,Product 20,BI,2024-05-15,Usage,398,Agents,Consumer
P021,61,Product 21,BI,2024-04-03,Monthly,57,Vision,SMB
P022,52,Product 22,Analytics,2023-11-10,Usage,307,Vision,Enterprise
P023,71,Product 23,Automation,2023-12-19,Annual,391,SQL,Enterprise
P024,46,Product 24,BI,2023-10-05,Annual,138,Agents,SMB
P025,93,Product 25,Analytics,2023-11-20,Monthly,390,SQL,Consumer
P026,24,Product 26,Analytics,2023-08-10,Usage,257,Vision,Consumer
P027,76,Product 27,Automation,2024-09-03,Annual,61,Agents,Enterprise
P028,30,Product 28,Assistant,2023-07-03,Annual,17,SQL,SMB
P029,36,Product 29,LLM,2023-02-25,Usage,159,Agents,Consumer
P030,97,Product 30,BI,2023-04-16,Monthly,303,Vision,Enterprise
P031,62,Product 31,BI,2023-12-15,Monthly,36,Vision,Enterprise
P032,15,Product 32,LLM,2024-02-15,Annual,47,SQL,Consumer
P033,88,Product 33,LLM,2023-06-05,Monthly,425,SQL,Enterprise
P034,11,Product 34,Analytics,2023-05-02,Usage,401,Reasoning,Consumer
P035,77,Product 35,Automation,2023-08-20,Usage,204,Reasoning,Enterprise
P036,39,Product 36,Automation,2024-03-15,Annual,301,SQL,SMB
P037,79,Product 37,LLM,2025-02-20,Monthly,330,Agents,Enterprise
P038,85,Product 38,LLM,2023-06-10,Monthly,98,SQL,SMB
P039,21,Product 39,LLM,2024-02-23,Annual,362,SQL,Enterprise
P040,38,Product 40,LLM,2023-08-26,Annual,371,Vision,Consumer
P041,59,Product 41,LLM,2024-12-04,Monthly,483,Vision,Consumer
P042,76,Product 42,Analytics,2024-03-11,Monthly,288,Agents,Consumer
P043,20,Product 43,Assistant,2025-04-26,Monthly,46,RAG,SMB
P044,40,Product 44,Automation,2025-02-05,Usage,481,Vision,Enterprise
P045,16,Product 45,BI,2024-12-06,Annual,368,Reasoning,Enterprise
P046,65,Product 46,Automation,2024-05-20,Annual,51,SQL,SMB
P047,56,Product 47,Assistant,2024-09-10,Annual,23,RAG,SMB
P048,87,Product 48,Automation,2024-08-24,Monthly,401,Vision,Consumer
P049,6,Product 49,Analytics,2024-04-26,Usage,343,Reasoning,Enterprise
P050,24,Product 50,Automation,2024-03-22,Usage,426,Reasoning,SMB
P051,61,Product 51,Assistant,2024-02-23,Annual,174,RAG,SMB
P052,43,Product 52,BI,2024-12-11,Annual,157,Reasoning,Consumer
P053,5,Product 53,BI,2023-04-01,Annual,139,Vision,SMB
P054,99,Product 54,BI,2025-06-04,Usage,432,RAG,Consumer
P055,70,Product 55,BI,2024-02-28,Monthly,106,SQL,Enterprise
P056,80,Product 56,BI,2024-10-02,Annual,399,RAG,SMB
P057,35,Product 57,Automation,2023-05-15,Annual,234,Reasoning,SMB
P058,4,Product 58,Automation,2025-03-29,Monthly,373,Agents,Enterprise
P059,71,Product 59,LLM,2024-07-19,Annual,57,Agents,SMB
P060,60,Product 60,LLM,2024-10-25,Monthly,265,Vision,Consumer
P061,91,Product 61,Assistant,2024-03-01,Annual,251,Agents,Enterprise
P062,71,Product 62,Analytics,2024-01-28,Monthly,481,SQL,Consumer
P063,96,Product 63,Analytics,2025-06-03,Monthly,151,Reasoning,Enterprise
P064,65,Product 64,Assistant,2025-04-20,Monthly,154,Vision,Consumer
P065,75,Product 65,BI,2025-06-05,Monthly,238,SQL,Enterprise
P066,45,Product 66,Assistant,2024-07-19,Usage,203,Reasoning,Enterprise
P067,25,Product 67,Analytics,2024-08-08,Annual,129,Reasoning,SMB
P068,41,Product 68,BI,2024-12-23,Annual,207,Agents,Enterprise
P069,5,Product 69,Analytics,2024-05-29,Usage,179,RAG,Enterprise
P070,13,Product 70,Automation,2024-04-12,Monthly,379,Agents,Enterprise
P071,84,Product 71,Analytics,2023-03-18,Annual,410,Vision,Enterprise
P072,80,Product 72,BI,2024-10-27,Monthly,446,Vision,Consumer
P073,69,Product 73,BI,2023-11-21,Usage,377,Reasoning,Consumer
P074,5,Product 74,Automation,2023-03-12,Monthly,333,Vision,SMB
P075,96,Product 75,LLM,2024-03-20,Monthly,399,RAG,Enterprise
P076,22,Product 76,Assistant,2023-01-30,Monthly,176,RAG,Enterprise
P077,46,Product 77,Assistant,2024-03-17,Monthly,135,SQL,Enterprise
P078,73,Product 78,Analytics,2023-06-24,Monthly,50,SQL,Enterprise
P079,80,Product 79,Analytics,2024-05-24,Usage,83,Agents,Enterprise
P080,82,Product 80,Assistant,2024-04-15,Annual,351,RAG,Enterprise
P081,37,Product 81,Automation,2023-06-11,Monthly,236,Vision,Consumer
P082,39,Product 82,BI,2024-12-07,Annual,243,Vision,SMB
P083,50,Product 83,BI,2023-04-20,Monthly,205,SQL,Enterprise
P084,74,Product 84,Assistant,2024-12-17,Annual,21,Reasoning,Enterprise
P085,2,Product 85,Automation,2025-06-04,Usage,408,RAG,Consumer
P086,96,Product 86,BI,2025-05-02,Annual,407,Agents,Consumer
P087,46,Product 87,Analytics,2024-10-13,Monthly,327,Vision,Consumer
P088,97,Product 88,Analytics,2024-10-05,Monthly,472,RAG,Enterprise
P089,57,Product 89,LLM,2024-08-16,Annual,384,Agents,SMB
P090,38,Product 90,Assistant,2025-02-04,Annual,99,Agents,SMB
P091,70,Product 91,Assistant,2024-06-27,Usage,477,Vision,SMB
P092,33,Product 92,BI,2025-04-05,Annual,392,Vision,SMB
P093,60,Product 93,LLM,2023-05-25,Monthly,450,Reasoning,Consumer
P094,47,Product 94,LLM,2025-03-20,Annual,17,Vision,Consumer
P095,16,Product 95,BI,2024-01-13,Usage,393,Vision,Consumer
P096,49,Product 96,Assistant,2023-04-21,Usage,129,Reasoning,SMB
P097,80,Product 97,Automation,2023-12-02,Usage,123,RAG,Consumer
P098,60,Product 98,Assistant,2024-10-26,Annual,69,Agents,SMB
P099,5,Product 99,Assistant,2024-05-19,Monthly,59,Agents,Consumer
P100,18,Product 100,BI,2024-04-09,Annual,353,SQL,Enterprise
P101,76,Product 101,Analytics,2024-02-29,Usage,60,Reasoning,Consumer
P102,53,Product 102,Assistant,2023-02-03,Usage,199,Agents,Enterprise
P103,57,Product 103,Analytics,2025-05-25,Annual,60,Vision,Consumer
P104,83,Product 104,Assistant,2023-03-04,Annual,151,Agents,SMB
P105,59,Product 105,LLM,2024-11-09,Monthly,338,SQL,SMB
P106,7,Product 106,Assistant,2023-09-07,Monthly,412,SQL,SMB
P107,9,Product 107,Automation,2023-08-01,Usage,120,Agents,Enterprise
P108,100,Product 108,Analytics,2025-03-18,Usage,11,Vision,SMB
P109,17,Product 109,Automation,2023-09-14,Monthly,66,RAG,SMB
P110,2,Product 110,Assistant,2025-03-19,Monthly,311,Vision,SMB
P111,23,Product 111,Assistant,2023-02-23,Monthly,389,Reasoning,Consumer
P112,15,Product 112,LLM,2024-05-02,Annual,408,Vision,Consumer
P113,76,Product 113,LLM,2024-04-07,Usage,123,SQL,SMB
P114,94,Product 114,Automation,2023-11-05,Annual,339,RAG,SMB
P115,62,Product 115,BI,2024-03-12,Usage,65,Reasoning,Consumer
P116,57,Product 116,LLM,2023-03-24,Annual,321,Agents,SMB
P117,17,Product 117,Assistant,2024-10-01,Usage,309,SQL,Consumer
P118,42,Product 118,BI,2024-09-03,Usage,160,Reasoning,Consumer
P119,78,Product 119,BI,2023-04-12,Usage,68,SQL,Consumer
P120,28,Product 120,BI,2024-04-07,Monthly,221,Vision,Enterprise
P121,52,Product 121,BI,2025-01-17,Monthly,170,Reasoning,Enterprise
P122,86,Product 122,Assistant,2024-01-19,Monthly,361,Reasoning,SMB
P123,12,Product 123,LLM,2023-04-06,Annual,59,Vision,SMB
P124,72,Product 124,LLM,2024-08-23,Usage,297,Vision,Consumer
P125,16,Product 125,BI,2023-12-29,Usage,491,Reasoning,Consumer
P126,7,Product 126,Assistant,2024-09-06,Annual,190,RAG,Consumer
P127,65,Product 127,Analytics,2023-06-08,Usage,256,Agents,SMB
P128,45,Product 128,Automation,2024-01-12,Monthly,400,Vision,Consumer
P129,29,Product 129,BI,2025-05-15,Usage,402,SQL,Consumer
P130,87,Product 130,Automation,2023-01-27,Usage,485,Vision,SMB
P131,24,Product 131,Assistant,2024-12-20,Annual,481,Vision,Enterprise
P132,1,Product 132,Analytics,2025-06-09,Monthly,299,Reasoning,SMB
P133,19,Product 133,LLM,2023-04-04,Usage,281,Agents,Enterprise
P134,54,Product 134,BI,2023-12-16,Monthly,199,Vision,Consumer
P135,42,Product 135,Automation,2024-09-02,Monthly,462,RAG,SMB
P136,21,Product 136,Automation,2023-02-20,Usage,51,Vision,Enterprise
P137,85,Product 137,BI,2024-05-12,Usage,236,Reasoning,Enterprise
