company_name,product_name,monthly_price,annual_price,free_trial,enterprise_support
DataSphere 1,Suite 1,64,856,Yes,Yes
QuantumSoft 2,Suite 2,22,971,Yes,Yes
VisionTech 3,Suite 3,11,972,Yes,Yes
QuantumSoft 4,Suite 4,94,762,Yes,Yes
InsightAI 5,Suite 5,52,466,No,Yes
DataSphere 6,Suite 6,89,374,Yes,Yes
CloudEdge 7,Suite 7,57,934,No,Yes
QuantumSoft 8,Suite 8,33,216,No,Yes
VisionTech 9,Suite 9,61,567,No,Yes
VisionTech 10,Suite 10,59,806,No,Yes
AIWorks 11,Suite 11,63,764,Yes,Yes
QuantumSoft 12,Suite 12,24,235,Yes,Yes
VisionTech 13,Suite 13,30,206,No,Yes
SmartLogic 14,Suite 14,85,594,No,Yes
VisionTech 15,Suite 15,33,725,No,Yes
CloudEdge 16,Suite 16,55,726,Yes,Yes
CortexAI 17,Suite 17,97,958,Yes,Yes
QuantumSoft 18,Suite 18,71,599,Yes,Yes
InsightAI 19,Suite 19,62,551,Yes,Yes
NextGenAI 20,Suite 20,18,367,No,Yes
QuantumSoft 21,Suite 21,11,821,Yes,Yes
NextGenAI 22,Suite 22,95,994,No,Yes
DataSphere 23,Suite 23,76,635,Yes,Yes
InsightAI 24,Suite 24,65,777,Yes,Yes
NextGenAI 25,Suite 25,71,454,No,Yes
TechNova 26,Suite 26,29,959,Yes,Yes
DataSphere 27,Suite 27,11,758,Yes,Yes
InsightAI 28,Suite 28,74,969,No,Yes
QuantumSoft 29,Suite 29,73,990,Yes,Yes
QuantumSoft 30,Suite 30,19,869,No,Yes
TechNova 31,Suite 31,51,346,No,Yes
DataSphere 32,Suite 32,45,151,Yes,Yes
DataSphere 33,Suite 33,80,758,No,Yes
QuantumSoft 34,Suite 34,61,936,Yes,Yes
SmartLogic 35,Suite 35,20,570,No,Yes
SmartLogic 36,Suite 36,83,558,Yes,Yes
TechNova 37,Suite 37,73,557,No,Yes
VisionTech 38,Suite 38,25,609,Yes,Yes
CloudEdge 39,Suite 39,23,513,No,Yes
QuantumSoft 40,Suite 40,14,670,Yes,Yes
DataSphere 41,Suite 41,21,910,No,Yes
SmartLogic 42,Suite 42,75,675,Yes,Yes
NextGenAI 43,Suite 43,93,787,No,Yes
InsightAI 44,Suite 44,53,472,Yes,Yes
QuantumSoft 45,Suite 45,38,964,No,Yes
QuantumSoft 46,Suite 46,52,673,No,Yes
InsightAI 47,Suite 47,94,472,No,Yes
DataSphere 48,Suite 48,24,199,Yes,Yes
SmartLogic 49,Suite 49,10,449,No,Yes
AIWorks 50,Suite 50,91,919,No,Yes
AIWorks 51,Suite 51,80,634,No,Yes
DataSphere 52,Suite 52,99,208,Yes,Yes
DataSphere 53,Suite 53,31,604,Yes,Yes
CloudEdge 54,Suite 54,62,209,No,Yes
DataSphere 55,Suite 55,88,300,Yes,Yes
InsightAI 56,Suite 56,25,972,No,Yes
CloudEdge 57,Suite 57,37,568,Yes,Yes
SmartLogic 58,Suite 58,53,210,No,Yes
InsightAI 59,Suite 59,15,748,Yes,Yes
DataSphere 60,Suite 60,67,568,Yes,Yes
QuantumSoft 61,Suite 61,73,104,Yes,Yes
TechNova 62,Suite 62,80,543,No,Yes
QuantumSoft 63,Suite 63,75,899,Yes,Yes
InsightAI 64,Suite 64,98,692,Yes,Yes
VisionTech 65,Suite 65,26,206,No,Yes
TechNova 66,Suite 66,94,714,No,Yes
CloudEdge 67,Suite 67,74,493,No,Yes
AIWorks 68,Suite 68,87,809,Yes,Yes
QuantumSoft 69,Suite 69,45,507,No,Yes
CloudEdge 70,Suite 70,47,563,Yes,Yes
DataSphere 71,Suite 71,27,522,No,Yes
CortexAI 72,Suite 72,99,660,No,Yes
CloudEdge 73,Suite 73,80,747,Yes,Yes
AIWorks 74,Suite 74,35,314,No,Yes
DataSphere 75,Suite 75,97,453,Yes,Yes
SmartLogic 76,Suite 76,100,765,Yes,Yes
InsightAI 77,Suite 77,74,655,No,Yes
CloudEdge 78,Suite 78,100,218,No,Yes
NextGenAI 79,Suite 79,81,591,No,Yes
InsightAI 80,Suite 80,96,865,No,Yes
VisionTech 81,Suite 81,64,927,Yes,Yes
TechNova 82,Suite 82,76,209,Yes,Yes
SmartLogic 83,Suite 83,58,248,Yes,Yes
SmartLogic 84,Suite 84,95,157,Yes,Yes
SmartLogic 85,Suite 85,44,868,Yes,Yes
TechNova 86,Suite 86,46,799,No,Yes
InsightAI 87,Suite 87,28,959,Yes,Yes
NextGenAI 88,Suite 88,98,903,No,Yes
InsightAI 89,Suite 89,36,871,Yes,Yes
QuantumSoft 90,Suite 90,55,933,No,Yes
VisionTech 91,Suite 91,23,730,Yes,Yes
InsightAI 92,Suite 92,92,674,No,Yes
DataSphere 93,Suite 93,40,623,No,Yes
TechNova 94,Suite 94,98,780,Yes,Yes
CortexAI 95,Suite 95,58,496,No,Yes
SmartLogic 96,Suite 96,97,420,Yes,Yes
VisionTech 97,Suite 97,11,861,No,Yes
SmartLogic 98,Suite 98,35,735,No,Yes
CortexAI 99,Suite 99,38,748,No,Yes
TechNova 100,Suite 100,85,659,Yes,Yes
